Checkouts,Temp,Humidity,Rain_Intensity,Rain_Total,Hour,DOY,Weekday,Cubs_Game
21,2.1,47,0,19.4,15,57,FRIDAY,X
1,16.3,63,0,49.1,2,161,THURSDAY,X
162,30.1,26,0,0,17,145,TUESDAY,X
85,20.3,82,0,47.8,16,153,WEDNESDAY,N
26,6.4,51,0,3.5,9,105,THURSDAY,N
8,-5.4,71,0,120.4,21,347,MONDAY,X
97,15,61,0,402.4,10,297,SUNDAY,X
67,26,53,0,254.9,12,236,TUESDAY,X
0,4.3,65,0,32.4,1,327,TUESDAY,X
14,-5.1,51,0,6.8,6,43,FRIDAY,X
26,14.1,57,0,0,22,143,SUNDAY,X
114,24.6,65,0,201.4,8,221,MONDAY,X
38,0.5,83,0,31.8,18,63,THURSDAY,X
34,-0.6,59,0,127.5,17,355,TUESDAY,X
140,17.9,78,0,83.1,8,180,TUESDAY,X
11,3.5,58,0,44.4,22,29,FRIDAY,X
132,8.5,81,0,12.8,12,114,SATURDAY,X
90,20.1,78,0,124.9,8,191,SATURDAY,X
115,17.5,83,0,353.9,19,277,MONDAY,X
144,19.4,68,0,254.9,10,234,SUNDAY,X
61,23.7,86,0,271,6,238,THURSDAY,X
19,8.5,52,0,402.4,22,295,FRIDAY,X
24,-7,53,0,29,7,62,WEDNESDAY,X
10,1.9,47,0,11.7,0,101,SUNDAY,X
37,11.7,57,0,402.4,14,299,TUESDAY,X
16,-0.5,72,0,135.1,20,362,TUESDAY,X
77,21.2,78,0,305.6,21,245,THURSDAY,N
25,7.1,93,0,5.5,19,122,SUNDAY,D
8,4.7,81,0,5.4,0,86,SATURDAY,X
0,22.2,95,13.8,176.4,0,206,SUNDAY,X
73,25.9,33,0,47.8,13,154,THURSDAY,D
89,6.1,97,0,14.1,7,117,TUESDAY,N
73,17.2,68,0,59,6,165,MONDAY,X
4,2.8,60,0,0.6,6,101,SUNDAY,X
48,9.3,75,0,22.2,21,126,THURSDAY,N
0,18,74,4.2,329.2,2,270,MONDAY,X
59,12.4,51,0,27.7,16,314,WEDNESDAY,X
0,22.3,61,0,254.9,2,236,TUESDAY,X
96,18.1,66,0,376.5,16,284,MONDAY,X
78,28,25,0,49.1,14,158,MONDAY,X
26,-9.1,44,0,120.7,18,348,TUESDAY,X
8,2.6,75,0,55.8,5,81,MONDAY,X
14,12.4,70,0,26,5,309,FRIDAY,X
96,21.8,77,0,271.1,11,239,FRIDAY,X
195,32.7,57,0,201.4,17,224,THURSDAY,N
5,-1.3,64,0,31.8,4,64,FRIDAY,X
128,13.3,76,0,26,17,308,THURSDAY,X
72,16.6,67,0,13.2,14,302,FRIDAY,X
112,23,81,0,201.3,9,213,SUNDAY,N
39,21.8,64,0,305,11,245,THURSDAY,N
168,27,58,0,68.9,14,171,SUNDAY,N
5,0.2,87,0,31.8,14,63,THURSDAY,X
10,20.8,76,0,391.3,3,290,SUNDAY,X
22,10.2,65,0,3.5,7,107,SATURDAY,D
31,7.9,76,0,12.8,20,114,SATURDAY,X
1,7.7,95,0,14.1,2,117,TUESDAY,N
10,5.7,96,0,47.2,19,73,SUNDAY,X
194,21.5,68,0,13.2,12,303,SATURDAY,X
60,24,86,0,225.2,15,228,MONDAY,X
10,20.1,67,0,305.6,5,247,SATURDAY,D
60,12.7,81,0,26,15,308,THURSDAY,X
65,25.3,82,0,303.1,13,243,TUESDAY,N
189,24.2,65,0,83.1,17,179,MONDAY,X
6,22.9,82,0,59.1,1,167,WEDNESDAY,X
3,-6.1,76,0,11.6,21,45,SUNDAY,X
17,24.1,95,0,224.5,0,226,SATURDAY,D
5,-7.6,71,0,40.1,14,13,WEDNESDAY,X
23,-5,66,0,92.7,9,345,SATURDAY,X
80,24.2,85,0,225.2,16,228,MONDAY,X
9,-0.8,74,0,12.4,11,47,TUESDAY,X
7,-8.7,53,0,6.8,10,41,WEDNESDAY,X
0,0.1,54,0,135.1,2,365,FRIDAY,X
95,26.8,61,0,244.3,15,232,FRIDAY,X
195,21.2,48,0,47.8,19,154,THURSDAY,D
199,22.2,67,0,13.2,15,303,SATURDAY,X
6,4.1,77,0,6.3,11,98,THURSDAY,X
47,23.1,64,0,201.4,8,220,SUNDAY,X
117,11.3,85,0,49,17,75,TUESDAY,X
6,11.5,73,0,402.4,4,298,MONDAY,X
23,2.7,66,0,127.5,8,357,THURSDAY,X
160,17,58,0,59,16,164,SUNDAY,X
1,2.5,66,0,127.5,4,358,FRIDAY,X
6,-10.5,63,0,34.5,12,11,MONDAY,X
4,2.2,69,0,70.7,6,339,SUNDAY,X
15,9.6,65,0,55.8,23,82,TUESDAY,X
116,9.6,78,0,13.2,7,302,FRIDAY,X
5,24.4,62,0,254.9,1,237,WEDNESDAY,X
6,18.9,73,0,254.9,3,234,SUNDAY,X
246,21.4,59,0,254.9,12,234,SUNDAY,X
137,14.8,60,0,26,7,312,MONDAY,X
57,16.5,59,0,19.5,16,59,SUNDAY,X
4,-6.6,61,0,6.8,15,40,TUESDAY,X
35,13.9,95,0,26,22,307,WEDNESDAY,X
0,21.8,62,0,254.9,3,236,TUESDAY,X
47,23.4,86,0,201.3,23,211,FRIDAY,D
97,22.2,83,0,73.5,19,174,WEDNESDAY,D
58,11.5,57,0,14.7,7,50,FRIDAY,X
30,-0.4,64,0,43.2,16,23,SATURDAY,X
2,9,76,0,391.1,1,287,THURSDAY,X
49,20.7,76,0,317,9,258,WEDNESDAY,X
48,29.8,61,0,201.3,22,217,THURSDAY,X
9,13.2,74,0,26,0,309,FRIDAY,X
29,1.7,81,0,4.6,19,34,WEDNESDAY,X
33,6.1,88,0,20.5,14,120,FRIDAY,D
1,-8,61,0,6.8,1,41,WEDNESDAY,X
